name,tourism,email,phone,website,coordinates
Swastika girls hostel,hostel,NULL,NULL,NULL,"[85.3243281, 27.7021804]"
Subha laxmi hostel pvt ltd,hostel,NULL,NULL,NULL,"[85.3247577, 27.7018275]"
Valley boys hostel,hostel,NULL,NULL,NULL,"[85.3249056, 27.7024809]"
Happy Girls and Boys Hostel,hostel,NULL,NULL,NULL,"[85.3230729, 27.7015087]"
NULL,hostel,NULL,NULL,NULL,"[85.3300975, 27.735033]"
Desire Boys Hostel,hostel,NULL,NULL,NULL,"[85.3436206, 27.6826542]"
Om Shanti Boys Hostel,hostel,NULL,NULL,NULL,"[85.3434662, 27.6820567]"
Surakchya Girls Hostel,hostel,NULL,NULL,NULL,"[85.3436602, 27.6827679]"
Jyapu Niwas,attraction,NULL,NULL,NULL,"[85.3350586, 27.6825671]"
Maa's Boys Hostel,hostel,NULL,NULL,NULL,"[85.3360187, 27.6823916]"
Smarika Girls Hostel,hostel,NULL,NULL,NULL,"[85.3343727, 27.6834129]"
NULL,picnic_site,NULL,NULL,NULL,"[85.2934287, 27.6597359]"
Ambassador Hotel,hotel,info@ambassador.com.np,+977-1-4442726; +977-1-4442727; +977-1-4414432; +977-1-4410432; +977-9818465741,NULL,"[85.3176166, 27.718987]"
Hotel Encounter Nepal,hotel,encnepal@mail.com.np,9802063088;9851082923,NULL,"[85.3121722, 27.7187025]"
G-Cafe,hotel,NULL,NULL,NULL,"[85.3634809, 27.7203749]"
Hotel The Lord Asia,hotel,NULL,NULL,NULL,"[85.3150006, 27.7189666]"
Pacific Guest House,guest_house,NULL,NULL,NULL,"[85.3154271, 27.7186255]"
रानीबन,viewpoint,NULL,NULL,NULL,"[85.2668796, 27.7452108]"
Hotel Lapha,hotel,hotellapha100@gmail.com,"9851011256, 9803735750",NULL,"[85.3148919, 27.7190801]"
KEEP Kathmandu Enviromental Education Project (4th floor),information,NULL,NULL,NULL,"[85.3129699, 27.7132638]"
Holy Temple Tree,hotel,NULL,NULL,NULL,"[85.3117251, 27.7187576]"
Mero Hotel Eco Home,guest_house,NULL,NULL,NULL,"[85.31008, 27.7188807]"
View Point Guest House and Sekuwa Corner,guest_house,NULL,NULL,NULL,"[85.3131147, 27.7329786]"
Giant Hotel Pvt. Ltd.,hotel,NULL,01-400-1129,NULL,"[85.3253791, 27.7192665]"
Adventure South Asia Tours and Travel,information,NULL,NULL,NULL,"[85.3259724, 27.7197929]"
Shivapuri Cottage Restaurant and Hotel,guest_house,NULL,NULL,NULL,"[85.4909224, 27.7744443]"
Siddharth Boys Hostel,hostel,NULL,NULL,NULL,"[85.3306021, 27.6911084]"
Hong Xiang Hotel,hotel,NULL,NULL,NULL,"[85.3297054, 27.6915546]"
Everest Girls Hostel,hostel,NULL,NULL,NULL,"[85.3292006, 27.6909151]"
Tings Tea Lounge and Hotel,guest_house,Tingsreservations@gmail.com,+977014414497,Tingsblog.com,"[85.3198187, 27.7229181]"
Paradise Girls Hostel,hostel,NULL,NULL,NULL,"[85.3338319, 27.6941737]"
White house,viewpoint,NULL,NULL,NULL,"[85.2686792, 27.6516305]"
Hotel Lion,hotel,NULL,NULL,NULL,"[85.3205414, 27.7201227]"
Durbar Square Ticket Counter,information,NULL,NULL,NULL,"[85.3090149, 27.7037131]"
Dream Garden Inn,guest_house,NULL,NULL,NULL,"[85.3223481, 27.7194538]"
Unique Girls Hostel,hostel,NULL,NULL,NULL,"[85.3256329, 27.7188548]"
NULL,hotel,NULL,NULL,NULL,"[85.3306495, 27.7277176]"
Kantipur Girls Hostel,hostel,NULL,NULL,NULL,"[85.3411924, 27.6911916]"
Madhuban Guest House,hotel,NULL,9851046019,NULL,"[85.3088408, 27.7127363]"
Hotel River Holiday Inn,hotel,thakur77pokhrel@gmail.com,9851198315,NULL,"[85.308377, 27.7212679]"
International Guest House,hotel,NULL,NULL,NULL,"[85.3079519, 27.7158231]"
Tukuche Thakali Resturent,hotel,NULL,NULL,NULL,"[85.31316, 27.7215417]"
Hotel Metropolitant Kantipur,hotel,NULL,NULL,http://kantipurhotel.com/,"[85.3084003, 27.7152439]"
raniban micro park,caravan_site,NULL,NULL,NULL,"[85.2817315, 27.7366929]"
Safal Boys Hostel,hostel,NULL,NULL,NULL,"[85.3247662, 27.7028306]"
Zenith Girls Hostel,hostel,NULL,NULL,NULL,"[85.3244484, 27.7028364]"
Statue of Tribhuwan,artwork,NULL,NULL,NULL,"[85.2208932, 27.6899272]"
NULL,museum,NULL,NULL,NULL,"[85.3181031, 27.7148956]"
NULL,camp_site,NULL,NULL,NULL,"[85.4350598, 27.7308849]"
Tanhaun Langhali Guest House,guest_house,NULL,NULL,NULL,"[85.309452, 27.7370509]"
Kanya Girls Hostel,hostel,NULL,NULL,NULL,"[85.3376328, 27.6945778]"
Kanya Girls Hostel,hostel,NULL,NULL,NULL,"[85.3377819, 27.6945068]"
siraha lodge,motel,NULL,NULL,NULL,"[85.3443706, 27.7063244]"
NULL,attraction,NULL,NULL,NULL,"[85.3012535, 27.7640022]"
3Monkeys Backpacker's Hostel,guest_house,NULL,+977 982-3588680,NULL,"[85.2846733, 27.7140886]"
Karma Guest House,guest_house,NULL,NULL,NULL,"[85.4280623, 27.7724854]"
Pharping View Point,viewpoint,NULL,NULL,NULL,"[85.2880902, 27.6123823]"
Hotel Holy Himalaya,hotel,NULL,NULL,NULL,"[85.3097998, 27.714803]"
Hotel Friends Home,hotel,info@hotelfriendshome.com,"+977-014-152065 ,014-152066 Mob:+977-9801082937(Rajendra) ,9841265824(Pramod)",http://www.friendshomehotel.com/,"[85.3131298, 27.7115298]"
NULL,information,NULL,NULL,NULL,"[85.4244241, 27.7691107]"
Hotel Red Planet,hotel,NULL,NULL,http://hotelredplanet.com,"[85.3106742, 27.7156337]"
Kathmandu View Hotel,hotel,NULL,NULL,NULL,"[85.3060982, 27.7162148]"
Hotel Pyramid,hotel,NULL,NULL,NULL,"[85.3098463, 27.7121508]"
Hotel Tashi Dhelek,hotel,NULL,NULL,NULL,"[85.3182462, 27.7028491]"
Hotel Phenix,hotel,NULL,NULL,NULL,"[85.309704, 27.7120929]"
Folk Nepal,artwork,NULL,NULL,NULL,"[85.3182559, 27.7194926]"
Puskar Hotel,hotel,NULL,NULL,NULL,"[85.3332123, 27.7001597]"
Hotel Tashi Dhelek,hotel,NULL,NULL,NULL,"[85.3108901, 27.713559]"
The City Museum Kathmandu,museum,NULL,NULL,http://thecitymuseum.org/,"[85.3182587, 27.7110138]"
Hotel Harati,hotel,NULL,NULL,NULL,"[85.3078338, 27.709551]"
KTM Holiday,hotel,NULL,NULL,NULL,"[85.311179, 27.7123216]"
Suraj Chok,artwork,NULL,NULL,NULL,"[85.3115164, 27.7054499]"
new purbanchal hotel and guest house,hotel,NULL,NULL,NULL,"[85.3399997, 27.708108]"
Radhe Krishna Boys Hostel,hostel,NULL,NULL,NULL,"[85.3376149, 27.7100441]"
Logo Girls Hostel,hostel,NULL,NULL,NULL,"[85.3377956, 27.7082711]"
Pratima jati Nagarik Samaj Nepal,information,NULL,NULL,NULL,"[85.345305, 27.7143655]"
Rastriya yatayat upovokta Sangh Nepal,information,NULL,NULL,NULL,"[85.345305, 27.7143925]"
Thamel Base Camp,hotel,NULL,9841440291,www.nepaltravelsandtrekking.com,"[85.3117621, 27.7148498]"
hostel,hostel,famoushouse99@gmail.com,+9779841787132,http://www.famoushousektm.com,"[85.3140337, 27.7217794]"
Blue Mountain,guest_house,NULL,NULL,NULL,"[85.3120925, 27.7209185]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3645569, 27.7424152]"
Chenrezig Statue,artwork,NULL,NULL,NULL,"[85.3635414, 27.7428191]"
OYO 105 Hotel Travel Inn,hotel,NULL,01-4217474,NULL,"[85.3443883, 27.7066066]"
Mustang Holiday Inn,hotel,NULL,NULL,NULL,"[85.3135095, 27.7132499]"
Kirti Girls Hostel,hostel,NULL,NULL,NULL,"[85.2796189, 27.6772402]"
Kirtipur Guest House,guest_house,NULL,NULL,NULL,"[85.276248, 27.679491]"
Newa Civilization Guest house,guest_house,NULL,NULL,NULL,"[85.275328, 27.6791932]"
Taj Mahal,hotel,NULL,NULL,NULL,"[85.3163486, 27.7099724]"
Hotel Mirchi,hostel,NULL,NULL,NULL,"[85.3164452, 27.7094241]"
NULL,hotel,NULL,NULL,NULL,"[85.3111229, 27.6934303]"
Bliss,hotel,NULL,NULL,NULL,"[85.3129961, 27.7110529]"
Kantipur Temple House,hotel,NULL,9851060663,NULL,"[85.3129704, 27.7113584]"
Mums Home,hotel,info@hotelmumshome.com,014228373,NULL,"[85.3130212, 27.711171]"
Lotus Girls Hostel,hostel,NULL,NULL,NULL,"[85.3286254, 27.7006235]"
Asmita Bed and Breakfast,guest_house,NULL,NULL,NULL,"[85.3119443, 27.7174964]"
Secret Garden Guesthouse,hostel,NULL,NULL,NULL,"[85.306707, 27.7152203]"
Kathmandu Peace,guest_house,NULL,NULL,NULL,"[85.3113578, 27.7166893]"
Buddha,hotel,NULL,NULL,NULL,"[85.4980812, 27.764083]"
NULL,viewpoint,NULL,NULL,NULL,"[85.5010692, 27.7393759]"
Sherpa Lodge,hostel,NULL,NULL,NULL,"[85.5150903, 27.731159]"
Hotel Mountain,hotel,NULL,NULL,http://www.hotelmountain.com.np/,"[85.3151627, 27.7088778]"
Yellow Pagoda,hotel,NULL,NULL,NULL,"[85.3151693, 27.7104313]"
Ashoka,hotel,NULL,NULL,NULL,"[85.3134915, 27.7094993]"
Koohinoor Inn,hotel,h-kohinoor@hotmail.com,NULL,NULL,"[85.3139037, 27.7101884]"
Jhule Organic Farm House,guest_house,NULL,9841-427065,NULL,"[85.4933262, 27.7734201]"
Backpackers,hotel,hotelbackpacker@gmail.com,977-1-4225319,NULL,"[85.3120383, 27.7121545]"
Buddha Land,hotel,NULL,NULL,NULL,"[85.3129168, 27.7119604]"
Golden Gate,hotel,NULL,NULL,NULL,"[85.3121076, 27.7128102]"
Kathmandu Home,hotel,NULL,NULL,NULL,"[85.313335, 27.7117467]"
Namaste,hotel,info@hotelnamastenepal.com,+977 01 4222253,www.hotelnamastenepal.com,"[85.3128566, 27.7115704]"
Namaste,guest_house,NULL,NULL,NULL,"[85.3120799, 27.7126634]"
NULL,hotel,NULL,4152083,NULL,"[85.3129066, 27.7117591]"
Peak Point,hotel,NULL,NULL,www.peakpointhotel.com,"[85.3129273, 27.7118684]"
Hotel Pacific,hotel,NULL,4255153,https://www.hotelpacific.com.np/,"[85.3146285, 27.7100028]"
Kailash Parbat,hotel,NULL,NULL,NULL,"[85.3140911, 27.710185]"
Nepa,hotel,NULL,NULL,NULL,"[85.3133489, 27.7102337]"
Rokopa Guest house,guest_house,NULL,NULL,NULL,"[85.3613549, 27.7236395]"
Shechen Guesthouse,guest_house,NULL,NULL,NULL,"[85.360569, 27.7250126]"
Lotus,guest_house,NULL,NULL,NULL,"[85.3651748, 27.7226062]"
Pema,guest_house,NULL,NULL,NULL,"[85.3651298, 27.7223463]"
Buddha Garden,hotel,NULL,NULL,http://www.buddhagarden.com.np/,"[85.3120125, 27.7116346]"
Jiu Ding Yuan,hotel,NULL,NULL,NULL,"[85.312061, 27.712351]"
Nirvana Garden Hotel,hotel,NULL,NULL,http://www.nirvanagarden.com/new/,"[85.3093394, 27.7124418]"
PRK,guest_house,prkguesthouse@yahoo.com,4914911  4915955,NULL,"[85.3632997, 27.722509]"
Happiness,guest_house,NULL,NULL,NULL,"[85.3623152, 27.7228937]"
Dragon Guesthouse,guest_house,dragonguesth@gmail.com,+977 15178162,NULL,"[85.3610347, 27.7252906]"
Kathmandu Beijing Hotel,hotel,NULL,01-4201368,NULL,"[85.3132707, 27.7103307]"
Nepal Youth Hostel,guest_house,NULL,NULL,NULL,"[85.3120563, 27.7112397]"
Jagat,hotel,NULL,NULL,NULL,"[85.3122873, 27.7113236]"
Kailash,hotel,NULL,NULL,NULL,"[85.3140896, 27.7102768]"
Lucien,guest_house,NULL,NULL,NULL,"[85.3122451, 27.7119318]"
Shan Dong,hotel,NULL,NULL,NULL,"[85.3122289, 27.7126345]"
Fuji Hotel,hotel,NULL,+977 4250 435,https://www.fujihotel.com.np/,"[85.3128365, 27.7126185]"
Hotel Holy Himalaya,hotel,NULL,NULL,NULL,"[85.312853, 27.7127604]"
Sacred Valley Inn,hotel,NULL,NULL,http://www.sacredvalleyinn.com/,"[85.3126273, 27.7126737]"
Himal Lodge,guest_house,NULL,NULL,NULL,"[85.3110336, 27.7102359]"
Cyber,guest_house,NULL,NULL,NULL,"[85.3628298, 27.7226726]"
Stupa,guest_house,NULL,NULL,NULL,"[85.3630324, 27.7227092]"
Kailash,guest_house,NULL,NULL,NULL,"[85.3637447, 27.7237575]"
Swayambhu View,guest_house,swayambhu.view.gh@gmail.com,+9779803000844,https://www.facebook.com/SwayambhuViewGuestHouse/,"[85.2879722, 27.7116665]"
3 rooms by Pauline,hotel,contact@3roomsbypauline.com,NULL,https://3roomsbypauline.com/,"[85.3226253, 27.6946019]"
Gaju Suite Hotel Pvt. Ltd.,hotel,NULL,NULL,NULL,"[85.3118801, 27.7165841]"
mount agrol,information,NULL,NULL,NULL,"[85.3364673, 27.6995234]"
Baudha Stupa View,guest_house,NULL,NULL,NULL,"[85.3616618, 27.7219004]"
Baudha Chorten,hotel,NULL,4916440,NULL,"[85.3630968, 27.7213554]"
Padma,hotel,NULL,NULL,NULL,"[85.3613112, 27.7213553]"
Happiness,guest_house,NULL,NULL,NULL,"[85.3625029, 27.7217463]"
Khasyor,guest_house,NULL,4491482,NULL,"[85.3629828, 27.7213792]"
Kunzom,guest_house,NULL,4916241,www.khumbuhotel.com.np,"[85.3625919, 27.7212037]"
Yoga,guest_house,NULL,NULL,NULL,"[85.3614074, 27.7216368]"
Mandala,hotel,NULL,4474597,NULL,"[85.3630454, 27.7214477]"
Comfort,guest_house,NULL,4461275,NULL,"[85.362881, 27.7213882]"
Tibet Peace Inn,hotel,NULL,+977 1 4380653,https://www.tibetpeaceinn.com/,"[85.308838, 27.716965]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3646877, 27.7423751]"
SBimochan,hotel,NULL,NULL,NULL,"[85.3450754, 27.6884485]"
Shankhapura Paragliding Take off site,attraction,NULL,NULL,NULL,"[85.501957, 27.7751432]"
Solukhumbu Nachiring hotel,hotel,NULL,NULL,NULL,"[85.3670972, 27.7524935]"
Solukhumbu sherpa hotel,hotel,NULL,NULL,NULL,"[85.3681558, 27.7554904]"
Pilot Pen (Fair Trade Ltd),artwork,NULL,NULL,NULL,"[85.3090335, 27.7032452]"
Anup Home,attraction,NULL,NULL,NULL,"[85.2530693, 27.6852602]"
Gurje Bhanjyang(गुर्जे),viewpoint,NULL,NULL,NULL,"[85.3155919, 27.8135536]"
Er. Abeey Poudel Flat,attraction,getme_max@hotmail.com,+9779851055745,www.buildup.com.np,"[85.3397631, 27.7492953]"
NULL,picnic_site,NULL,NULL,NULL,"[85.3154415, 27.7098227]"
Bajra Creation Record,artwork,NULL,NULL,NULL,"[85.3264564, 27.6921046]"
Hotel Yala Peak,hotel,NULL,NULL,NULL,"[85.3114938, 27.7122431]"
Deep Kiran Offset Press,artwork,NULL,NULL,NULL,"[85.3294343, 27.6916111]"
Kamakshi Girls Hostel,hostel,gdhungel88@gmail.com,9849091822,NULL,"[85.3418733, 27.6954402]"
Mirage Inn,hotel,NULL,NULL,NULL,"[85.341767, 27.7042064]"
Manamaiju Ajima Mai Temple,attraction,NULL,NULL,NULL,"[85.3121403, 27.7520771]"
The Gyawali Residence,guest_house,info@websequel.com,014380271,www.websequel.com,"[85.2999432, 27.7230933]"
Color Bazar,artwork,NULL,NULL,NULL,"[85.3266531, 27.69333]"
Bikram Karki Resident,camp_site,bikram@apexhimalaya.com,9851139945,https://www.apexhimalaya.com/,"[85.3034399, 27.7532775]"
Family Peace House,guest_house,NULL,+97714381138,NULL,"[85.308305, 27.7181853]"
Roof Top Terrace,hotel,NULL,NULL,NULL,"[85.3114411, 27.7117336]"
V-text International,camp_site,NULL,+9779851196230,www.altitudeadventuregear.com,"[85.3104866, 27.7152762]"
Dormitory Nepal,hostel,info@dormnepal.com,+977-01-5161089,https://www.dormnepal.com/,"[85.3387416, 27.7324951]"
Hote Pacific,hotel,NULL,NULL,NULL,"[85.3145487, 27.7101383]"
Adventure Jaljale trekking & Expedition (P) Ltd.,Outdoor_Activities,NULL,9841440291,www.nepaltravelsandtrekking.com,"[85.3112114, 27.714187]"
Sam'z home,guest_house,NULL,9849897946,http://www.google.com,"[85.2528794, 27.6841916]"
Un Dia Blanco Eco Guest House,guest_house,NULL,+9779808151636,Look in booking.com,"[85.3584524, 27.723949]"
Aviyantra Engineering Consultancy,viewpoint,NULL,NULL,NULL,"[85.3273044, 27.6883584]"
Shakya Home,guest_house,NULL,9860005316,NULL,"[85.3142955, 27.720872]"
Hotel Lemon Tree,hotel,NULL,NULL,NULL,"[85.3096014, 27.7174289]"
Kathmandu CityHill,hotel,NULL,NULL,NULL,"[85.3118557, 27.7209932]"
Birendra dai,hotel,NULL,NULL,NULL,"[85.3545121, 27.7355333]"
Lila dai,hotel,NULL,NULL,NULL,"[85.3492901, 27.699948]"
Thulobaa,hotel,NULL,NULL,NULL,"[85.3362111, 27.7288957]"
Ganesh Parajuli,artwork,NULL,NULL,NULL,"[85.3537196, 27.7335701]"
Hotel Lion Pvt Ltd.,hotel,NULL,NULL,NULL,"[85.3206325, 27.7201448]"
S-Style Dance Institute,attraction,NULL,NULL,NULL,"[85.282051, 27.6932073]"
Club Galaxy,attraction,NULL,NULL,NULL,"[85.2778476, 27.6912275]"
Dharmapal,information,NULL,NULL,NULL,"[85.4460881, 27.7371926]"
salinadi hydropower,viewpoint,NULL,NULL,NULL,"[85.4811292, 27.7478171]"
Tamu's Paradise,guest_house,NULL,+9779851027030,NULL,"[85.3088407, 27.7235207]"
kasthamandap  travellers  home ,hostel,kthhostel@gmail.com,+9779813518975,NULL,"[85.3074375, 27.716799]"
Durga girls hostel,hostel,NULL,NULL,NULL,"[85.3313697, 27.6878809]"
Noyel House,attraction,noyel.amr@gmail.com,9867170004,http://noyelz.blogspot.com,"[85.3452556, 27.6735715]"
Offroadnepal Pvt Ltd,information,NULL,4418789,NULL,"[85.318497, 27.7197146]"
"Nilopul, Sukedhara",attraction,NULL,NULL,NULL,"[85.3494489, 27.7313342]"
NULL,artwork,NULL,NULL,NULL,"[85.2894169, 27.6932373]"
Anushka's homestay,hotel,NULL,NULL,NULL,"[85.3091436, 27.7218723]"
Mahalaxmi Mithai Bhandar,hotel,NULL,NULL,NULL,"[85.2445876, 27.6903963]"
Youbraj,guest_house,NULL,NULL,NULL,"[85.3119074, 27.6992794]"
bhaudhoka,viewpoint,NULL,NULL,NULL,"[85.4616943, 27.7281022]"
ccrysh home,motel,NULL,NULL,NULL,"[85.3705683, 27.7194327]"
Nirvana Peace Hotel,guest_house,NULL,NULL,NULL,"[85.3080862, 27.7172457]"
Backpackers Lodge,hotel,NULL,NULL,NULL,"[85.3102491, 27.7166934]"
Eco 2000,hotel,NULL,NULL,NULL,"[85.3103216, 27.7166574]"
The Yellow House,guest_house,NULL,NULL,NULL,"[85.308947, 27.7180664]"
Hikers Haven,guest_house,NULL,NULL,NULL,"[85.3086408, 27.7179463]"
Fair View Guest House,guest_house,NULL,NULL,NULL,"[85.3086193, 27.7180955]"
Delight Guest House,guest_house,NULL,NULL,NULL,"[85.308472, 27.7182317]"
Kathmandu Garden House,guest_house,NULL,NULL,NULL,"[85.3083079, 27.7182879]"
Kathmandu Sunny hotel,guest_house,NULL,NULL,NULL,"[85.3084668, 27.7181125]"
Kathmandu Peace Guest House,guest_house,NULL,NULL,NULL,"[85.3085329, 27.7184027]"
Fireflies Hostel,guest_house,NULL,NULL,NULL,"[85.3085009, 27.71735]"
Hotel Pilgrims,hotel,info@pilgrimshome.com,9851033428,NULL,"[85.3092726, 27.7169931]"
Thamel Grand Hotel,hotel,NULL,NULL,NULL,"[85.3097894, 27.7172952]"
Paradise Guest House,guest_house,NULL,NULL,NULL,"[85.3091028, 27.7175128]"
NULL,hostel,NULL,NULL,NULL,"[85.3113138, 27.7161711]"
Florid human resources,attraction,NULL,NULL,NULL,"[85.3320967, 27.6909767]"
Incessant Rain Animation Studio,attraction,NULL,014302445,https://www.incessantrain.com/,"[85.2970221, 27.7038178]"
Bharat Hotel & Lodge,guest_house,NULL,NULL,NULL,"[85.3113051, 27.7010981]"
NULL,attraction,NULL,NULL,NULL,"[85.472614, 27.7176395]"
NULL,viewpoint,NULL,NULL,NULL,"[85.2768193, 27.6737868]"
NULL,hostel,NULL,NULL,NULL,"[85.2768337, 27.6737879]"
Hotel Kamal,hotel,NULL,9851030146; 9851170732,NULL,"[85.3224615, 27.7101735]"
वसन्तपुर दरबार क्षेत्र,attraction,NULL,NULL,NULL,"[85.3069725, 27.7045198]"
Andes House,hostel,NULL,NULL,NULL,"[85.3125162, 27.7167237]"
NULL,hostel,NULL,NULL,NULL,"[85.3316328, 27.7015983]"
NULL,hostel,NULL,NULL,NULL,"[85.307286, 27.7186329]"
NULL,hotel,NULL,NULL,NULL,"[85.3115688, 27.6993568]"
Roadhouse Cafe / Hotel Roadhouse,hotel,NULL,NULL,NULL,"[85.3103191, 27.7144185]"
Hotel Ganesh Himal,hotel,NULL,NULL,NULL,"[85.3065194, 27.7101]"
Zen Bed & Breakfast,guest_house,NULL,+977 1-4413015,NULL,"[85.3111413, 27.7157278]"
NULL,hostel,klhostel@rocketmail.com,9841968448,http://klhostel.com.np,"[85.2780984, 27.6801453]"
