name,tourism,email,phone,website,coordinates
NULL,attraction,bhandariashish1997@gmail.com,NULL,https://www.destinationmanagementinc.com/,POINT(85.2946422 27.7489803)
NULL,attraction,NULL,NULL,NULL,POINT(85.3451523 27.7038262)
NULL,attraction,NULL,NULL,NULL,POINT(85.296755 27.7130366)
NULL,attraction,NULL,NULL,NULL,POINT(85.2999765 27.743785)
NULL,attraction,noyel.amr@gmail.com,9867170004,http://noyelz.blogspot.com,POINT(85.3715638 27.6753224)
NULL,attraction,NULL,NULL,NULL,POINT(85.3322358 27.6841114)
NULL,attraction,NULL,NULL,NULL,POINT(85.3712333 27.7187173)
NULL,attraction,NULL,NULL,NULL,POINT(85.3099934 27.6638414)
NULL,attraction,NULL,NULL,NULL,POINT(85.3533161 27.6944229)
NULL,attraction,NULL,NULL,NULL,POINT(85.3409352 27.7464017)
Nagpokhari,attraction,NULL,NULL,NULL,POINT(85.324369 27.713488)
NULL,attraction,NULL,NULL,https://www.facebook.com/peaceheaven,POINT(85.3184662 27.6290777)
NULL,attraction,info@rlc.com.np,+97715008769,https://rlc.com.np/,POINT(85.3205657 27.670798)
NULL,attraction,NULL,NULL,NULL,POINT(85.3296136 27.7004289)
NULL,attraction,NULL,NULL,NULL,POINT(85.3485618 27.7200627)
NULL,attraction,NULL,NULL,NULL,POINT(85.32493 27.6727375)
NULL,attraction,info@vape977.com,9851299996,https://www.vape977.com/,POINT(85.31163 27.721136)
NULL,attraction,NULL,NULL,NULL,POINT(85.3228409 27.7056025)
NULL,attraction,NULL,NULL,NULL,POINT(85.3718744 27.6480222)
NULL,attraction,NULL,NULL,NULL,POINT(85.3097935 27.6788674)
NULL,attraction,NULL,NULL,NULL,POINT(85.3190324 27.6330973)
NULL,attraction,NULL,NULL,NULL,POINT(85.400804 27.6863679)
NULL,attraction,NULL,NULL,NULL,POINT(85.3971294 27.6854651)
Gankhu dharamapur dol,attraction,NULL,NULL,NULL,POINT(85.3947658 27.6861196)
NULL,attraction,NULL,NULL,NULL,POINT(85.3402447 27.7014812)
NULL,attraction,NULL,NULL,NULL,POINT(85.3155587 27.6750718)
NULL,attraction,NULL,NULL,NULL,POINT(85.5023611 27.7095432)
NULL,attraction,NULL,NULL,NULL,POINT(85.3618807 27.7206893)
NULL,attraction,NULL,NULL,NULL,POINT(85.3245407 27.6703075)
NULL,attraction,NULL,NULL,NULL,POINT(85.4689605 27.7155068)
NULL,attraction,NULL,NULL,NULL,POINT(85.4778694 27.6416413)
NULL,attraction,NULL,+9779841432703,NULL,POINT(85.4778709 27.6416712)
NULL,attraction,NULL,NULL,NULL,POINT(85.3697527 27.7239102)
NULL,attraction,NULL,NULL,NULL,POINT(85.4055242 27.7205469)
NULL,attraction,NULL,NULL,NULL,POINT(85.299785 27.6429562)
NULL,attraction,NULL,NULL,NULL,POINT(85.2832512 27.6926344)
NULL,attraction,NULL,NULL,NULL,POINT(85.3110329 27.7105785)
NULL,attraction,NULL,NULL,NULL,POINT(85.3430933 27.6814004)
NULL,attraction,NULL,016631320,NULL,POINT(85.3803012 27.6736941)
Thamel Chowk,attraction,NULL,NULL,NULL,POINT(85.3113761 27.7143416)
NULL,attraction,NULL,NULL,NULL,POINT(85.3076683 27.6134911)
NULL,attraction,NULL,NULL,NULL,POINT(85.3134816 27.6023303)
NULL,attraction,NULL,NULL,NULL,POINT(85.349554 27.7128514)
NULL,attraction,NULL,NULL,NULL,POINT(85.2820427 27.687507)
NULL,attraction,NULL,NULL,NULL,POINT(85.2885761 27.7156735)
NULL,attraction,NULL,NULL,NULL,POINT(85.3099876 27.6994339)
City motorbike,attraction,NULL,NULL,NULL,POINT(85.3098672 27.7118564)
NULL,attraction,NULL,NULL,NULL,POINT(85.3054059 27.7014725)
NULL,attraction,NULL,NULL,NULL,POINT(85.3208055 27.6764034)
NULL,attraction,NULL,NULL,NULL,POINT(85.3319459 27.6989821)
NULL,attraction,NULL,NULL,NULL,POINT(85.3094481 27.7172087)
NULL,attraction,NULL,NULL,NULL,POINT(85.2783182 27.7004162)
NULL,attraction,NULL,NULL,NULL,POINT(85.2791966 27.6998559)
NULL,attraction,NULL,NULL,NULL,POINT(85.279123 27.7005042)
HUB,attraction,NULL,+977 9801123401,NULL,POINT(85.3124162 27.713693)
NULL,attraction,NULL,NULL,NULL,POINT(85.3257224 27.6737379)
NULL,attraction,NULL,NULL,NULL,POINT(85.3452825 27.6938622)
NULL,attraction,NULL,NULL,NULL,POINT(85.4775573 27.6421252)
NULL,attraction,NULL,NULL,NULL,POINT(85.446673 27.6707971)
NULL,attraction,NULL,NULL,NULL,POINT(85.3352649 27.6862558)
NULL,attraction,NULL,NULL,NULL,POINT(85.3050946 27.6480196)
NULL,attraction,NULL,NULL,NULL,POINT(85.3040597 27.6541379)
NULL,attraction,NULL,NULL,NULL,POINT(85.3208164 27.6497596)
NULL,attraction,NULL,NULL,NULL,POINT(85.3211086 27.6499409)
NULL,attraction,NULL,NULL,NULL,POINT(85.3083226 27.7043742)
NULL,attraction,NULL,NULL,NULL,POINT(85.3075388 27.7042318)
NULL,attraction,NULL,NULL,NULL,POINT(85.3078364 27.7042621)
NULL,attraction,NULL,NULL,NULL,POINT(85.3078016 27.7040078)
NULL,attraction,NULL,NULL,NULL,POINT(85.3118785 27.7334633)
NULL,attraction,NULL,NULL,NULL,POINT(85.3832727 27.5969944)
Gokarna Mahadev Temple,attraction,NULL,NULL,NULL,POINT(85.3880833 27.7396087)
Boudha Stupa,attraction,NULL,NULL,NULL,POINT(85.3620735 27.7218093)
NULL,attraction,NULL,NULL,NULL,POINT(85.3399414 27.7398659)
NULL,attraction,NULL,NULL,NULL,POINT(85.3083304 27.7066603)
Rani Pokhari,attraction,NULL,NULL,NULL,POINT(85.3153148 27.7078115)
NULL,attraction,NULL,NULL,NULL,POINT(85.324765 27.6730303)
NULL,attraction,NULL,NULL,NULL,POINT(85.324808 27.6727257)
NULL,attraction,NULL,NULL,NULL,POINT(85.3072586 27.7058627)
NULL,attraction,NULL,NULL,NULL,POINT(85.384938 27.7307726)
NULL,attraction,NULL,NULL,NULL,POINT(85.3846765 27.7310829)
Mohan Chok,attraction,NULL,NULL,NULL,POINT(85.3075665 27.7045724)
Indra Chowk,attraction,NULL,NULL,NULL,POINT(85.3096118 27.7060235)
NULL,attraction,NULL,NULL,NULL,POINT(85.3937222 27.6871925)
NULL,attraction,NULL,NULL,NULL,POINT(85.393721 27.6876048)
Changunarayan,attraction,NULL,NULL,NULL,POINT(85.428356 27.7162258)
HUB,attraction,NULL,NULL,NULL,POINT(85.3123826 27.7134398)
NULL,attraction,NULL,NULL,NULL,POINT(85.3069136 27.70344)
NULL,attraction,NULL,NULL,NULL,POINT(85.3560352 27.6469567)
Heaven Himalaya,attraction,info@heavenhimalaya.com,01-4357403,https://www.heavenhimalaya.com/,POINT(85.3050638 27.7194155)
NULL,attraction,NULL,NULL,NULL,POINT(85.2793364 27.7034776)
Siwangi Pradhan,attraction,NULL,NULL,NULL,POINT(85.331411 27.7169029)
NULL,attraction,NULL,NULL,NULL,POINT(85.27298 27.6199837)
NULL,attraction,NULL,NULL,NULL,POINT(85.3856611 27.676574)
Balkumari Temple,attraction,NULL,NULL,NULL,POINT(85.3853144 27.6759475)
Dhungedhara,attraction,NULL,NULL,NULL,POINT(85.3850274 27.6747147)
Siwa Tole,attraction,NULL,NULL,NULL,POINT(85.3867212 27.6777491)
Nigu Pukhu,attraction,NULL,NULL,NULL,POINT(85.3856376 27.678356)
NULL,attraction,NULL,NULL,NULL,POINT(85.2713509 27.6892587)
NULL,attraction,NULL,NULL,NULL,POINT(85.3112875 27.709311)
NULL,attraction,NULL,NULL,NULL,POINT(85.3669736 27.6445818)
NULL,attraction,NULL,NULL,NULL,POINT(85.3228608 27.6752197)
NULL,attraction,NULL,NULL,NULL,POINT(85.3227447 27.6752004)
NULL,attraction,NULL,NULL,NULL,POINT(85.2929885 27.7144457)
NULL,attraction,NULL,NULL,NULL,POINT(85.3699447 27.7340348)
NULL,attraction,NULL,NULL,NULL,POINT(85.4839759 27.7088916)
